Name,Value,Server,Capability,Ignore,RequiredSid
CSEnumerateModules,1,!C32ConfiguratorServer,NetworkControl,,0x101F7989
CSGetModuleIniData,2,!C32ConfiguratorServer,NetworkControl,,0x101F7989
CSLoadCpm,3,!C32ConfiguratorServer,NetworkControl,,0x101F7989
CSCancelLoadCpm,4,!C32ConfiguratorServer,NetworkControl,,0x101F7989
CSUnloadCpm,5,!C32ConfiguratorServer,PowerMgmt NetworkControl,,0x101F7989
CSCancelUnloadCpm,6,!C32ConfiguratorServer,PowerMgmt NetworkControl,,0x101F7989
